"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 08:09:13 GMT 2024","Tue May 07 08:09:14 GMT 2024","1047","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidSymbolsInLocalPart","testInvalidSymbolsInLocalPart",""
"passed","Tue May 07 08:05:30 GMT 2024","Tue May 07 08:05:30 GMT 2024","13","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkGenderLabel","checkGenderLabel",""
"passed","Tue May 07 08:06:49 GMT 2024","Tue May 07 08:06:49 GMT 2024","396","FriendRate","MyTests","api.FriendTest","api.FriendTest","checkGetIngo","checkGetIngo",""
"passed","Tue May 07 08:04:55 GMT 2024","Tue May 07 08:04:59 GMT 2024","3140","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkWrongPassword","checkWrongPassword",""
"passed","Tue May 07 08:06:32 GMT 2024","Tue May 07 08:06:35 GMT 2024","2398","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testNoSpecialCharsPasswordInput","testNoSpecialCharsPasswordInput",""
"passed","Tue May 07 08:03:33 GMT 2024","Tue May 07 08:03:37 GMT 2024","4826","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkContinueButtonDisabled","checkContinueButtonDisabled",""
"passed","Tue May 07 08:04:05 GMT 2024","Tue May 07 08:04:08 GMT 2024","2871","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","testPageDescription","testPageDescription",""
"passed","Tue May 07 08:13:16 GMT 2024","Tue May 07 08:13:32 GMT 2024","15891","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMinBirthday","testValidMinBirthday",""
"passed","Tue May 07 08:11:25 GMT 2024","Tue May 07 08:11:42 GMT 2024","16166","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidLongEmail","testValidLongEmail",""
"passed","Tue May 07 08:07:24 GMT 2024","Tue May 07 08:07:25 GMT 2024","891","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testBirthdayInvalidYearFuture","testBirthdayInvalidYearFuture",""
"passed","Tue May 07 08:12:10 GMT 2024","Tue May 07 08:12:26 GMT 2024","15987","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testValidMaxBirthday","testValidMaxBirthday",""
"passed","Tue May 07 08:07:37 GMT 2024","Tue May 07 08:07:53 GMT 2024","16378","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testEmailDotInLocalPart","testEmailDotInLocalPart",""
"passed","Tue May 07 08:06:37 GMT 2024","Tue May 07 08:06:40 GMT 2024","2822","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testShortPasswordInput","testShortPasswordInput",""
"failed","Tue May 07 08:11:09 GMT 2024","Tue May 07 08:11:11 GMT 2024","1982","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernamePlus","testUsernamePlus",""
"passed","Tue May 07 08:06:09 GMT 2024","Tue May 07 08:06:12 GMT 2024","2697","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testInvalidEmailInput","testInvalidEmailInput",""
"passed","Tue May 07 08:10:55 GMT 2024","Tue May 07 08:10:57 GMT 2024","2140","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameMaxLength","testUsernameMaxLength",""
"passed","Tue May 07 08:03:50 GMT 2024","Tue May 07 08:03:53 GMT 2024","2885","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkPasswordLabel","checkPasswordLabel",""
"passed","Tue May 07 08:04:40 GMT 2024","Tue May 07 08:04:43 GMT 2024","2999","FriendRate","MyTests","tests.LoginTest","tests.LoginTest","checkInvalidEmailValidation","checkInvalidEmailValidation",""
"passed","Tue May 07 08:09:00 GMT 2024","Tue May 07 08:09:01 GMT 2024","721","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testInvalidLingPasswordNoSymbols","testInvalidLingPasswordNoSymbols",""
"passed","Tue May 07 08:05:12 GMT 2024","Tue May 07 08:05:12 GMT 2024","27","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkAgeRangeSetup","checkAgeRangeSetup",""
"passed","Tue May 07 08:05:54 GMT 2024","Tue May 07 08:05:58 GMT 2024","3174","FriendRate","MyTests","tests.RegistrationSadPathTest","tests.RegistrationSadPathTest","testEmailWithoutDomainInput","testEmailWithoutDomainInput",""
"unknown","Tue May 07 08:03:23 GMT 2024","Tue May 07 08:03:23 GMT 2024","0","FriendRate","MyTests","tests.RegistrationHappyPathTest","tests.RegistrationHappyPathTest","testEnterAdditionalInfo","testEnterAdditionalInfo",""
"passed","Tue May 07 08:10:03 GMT 2024","Tue May 07 08:10:04 GMT 2024","833","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testMismatchingPasswords","testMismatchingPasswords",""
"passed","Tue May 07 08:05:42 GMT 2024","Tue May 07 08:05:42 GMT 2024","461","FriendRate","MyTests","tests.MainPageTest","tests.MainPageTest","checkLanguageDropdown","checkLanguageDropdown",""
"failed","Tue May 07 08:10:24 GMT 2024","Tue May 07 08:10:26 GMT 2024","2078","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testUsernameAt","testUsernameAt",""
"passed","Tue May 07 08:09:20 GMT 2024","Tue May 07 08:09:22 GMT 2024","1948","FriendRate","MyTests","tests.EditProfileBoundaryTest","tests.EditProfileBoundaryTest","testLongAbout","testLongAbout",""
